"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1132.8498619469
"FDW14","OUT017",1534.06936358582
"NCN55","OUT010",339.828500461681
"FDQ58","OUT017",3337.11527309237
"FDY38","OUT027",5355.02535258358
"FDH56","OUT046",2476.17098073701
"FDL48","OUT018",1534.06936358582
"FDC48","OUT027",3358.45318644068
"FDN33","OUT045",1534.06936358582
"FDA36","OUT017",3447.42845130435
"FDT44","OUT017",2476.17098073701
"FDQ56","OUT045",2476.17098073701
"NCC54","OUT019",339.828500461681
"FDU11","OUT049",2758.6962606383
"DRL59","OUT013",1132.8498619469
"FDM24","OUT049",3447.42845130435
"FDI57","OUT045",2476.17098073701
"DRC12","OUT018",2217.15117664975
"NCM42","OUT027",2476.17098073701
"FDA46","OUT010",339.828500461681
"FDA31","OUT013",3337.11527309237
"NCJ31","OUT035",3337.11527309237
"FDG52","OUT046",1132.8498619469
"NCL19","OUT019",339.828500461681
"FDS10","OUT035",2476.17098073701
"FDX22","OUT010",339.828500461681
"NCF19","OUT035",1132.8498619469
"NCE06","OUT046",3337.11527309237
"DRC27","OUT046",3337.11527309237
"FDE21","OUT035",1534.06936358582
"NCR42","OUT019",339.828500461681
"FDX51","OUT018",3337.11527309237
"NCR06","OUT018",1132.8498619469
"FDU31","OUT027",5355.02535258358
"FDU59","OUT017",2758.6962606383
"FDR03","OUT027",5355.02535258358
"FDS49","OUT027",1534.06936358582
"FDD48","OUT010",339.828500461681
"NCF18","OUT017",2476.17098073701
"NCD43","OUT027",2476.17098073701
"NCD54","OUT018",2476.17098073701
"FDY19","OUT010",339.828500461681
"NCY54","OUT017",2476.17098073701
"NCL19","OUT018",3337.11527309237
"FDP23","OUT010",339.828500461681
"FDC26","OUT013",1534.06936358582
"FDR14","OUT010",339.828500461681
"NCS41","OUT035",2217.15117664975
"FDF41","OUT035",3337.11527309237
"FDU34","OUT046",2476.17098073701
"DRH11","OUT046",1132.8498619469
"FDM03","OUT013",1534.06936358582
"FDS31","OUT017",3337.11527309237
"FDJ20","OUT017",2476.17098073701
"FDV44","OUT027",5355.02535258358
"FDG02","OUT049",2217.15117664975
"FDA09","OUT013",3337.11527309237
"FDT04","OUT013",1132.8498619469
"FDL58","OUT019",339.828500461681
"FDE52","OUT045",2476.17098073701
"FDW12","OUT035",3447.42845130435
"FDL51","OUT017",2476.17098073701
"NCY42","OUT027",2476.17098073701
"FDR07","OUT017",1132.8498619469
"FDN40","OUT045",2217.15117664975
"FDB35","OUT027",1534.06936358582
"FDA22","OUT017",3447.42845130435
"NCL06","OUT046",3337.11527309237
"FDI35","OUT013",3337.11527309237
"NCW42","OUT045",2476.17098073701
"NCX06","OUT049",2476.17098073701
"FDC37","OUT027",3358.45318644068
